OBJECTID,FIPS,STATE_NAME,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_CITY,HQ_ZIP_CODE,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,Y,X
14,36005.0,New York,James J Peters VA Medical Center,VA Hospital,130 W Kingsbridge Rd,Bronx,10468,,,2,2,,,0,2.0,40.87,-73.91
15,38017.0,North Dakota,Fargo VA Health Care System,VA Hospital,2101 Elm St N,Fargo,58102,,,1,1,,,0,1.0,46.91,-96.77
16,41019.0,Oregon,Roseburg VA Health Care System,VA Hospital,913 Nw Garden Valley Blvd,Roseburg,97471,,,0,0,,,0,0.0,43.23,-123.37
17,42003.0,Pennsylvania,VA Pittsburgh Healthcare System - University Drive,VA Hospital,4100 Allequippa St,Pittsburgh,15219,146.0,146.0,2,2,,,0,2.0,40.45,-79.96
18,1001.0,Alabama,Prattville Baptist Hospital,Short Term Acute Care Hospital,124 S Memorial Dr,Prattville,36067,85.0,55.0,6,6,0.0,0.62311333,30,2.0,32.46,-86.45
19,1003.0,Alabama,Thomas Hospital,Short Term Acute Care Hospital,750 Morphy Ave,Fairhope,36532,150.0,129.0,17,17,0.0,0.77005416,21,3.0,30.52,-87.89
20,1003.0,Alabama,North Baldwin Infirmary,Short Term Acute Care Hospital,1815 Hand Ave,Bay Minette,36507,58.0,55.0,4,4,0.0,0.28513077,3,2.0,30.9,-87.79
21,1005.0,Alabama,Medical Center Barbour,Short Term Acute Care Hospital,820 W Washington St,Eufaula,36027,74.0,30.0,5,5,0.0,0.43063974,44,2.0,31.89,-85.16
22,1007.0,Alabama,Bibb Medical Center,Short Term Acute Care Hospital,208 Pierson Ave,Centreville,35042,35.0,25.0,4,4,0.0,0.37621918,10,1.0,32.95,-87.15
23,1009.0,Alabama,St Vincents Blount,Critical Access Hospital,150 Gilbreath Dr,Oneonta,35121,25.0,25.0,6,6,0.0,0.4990685,0,2.0,33.93,-86.49
24,1011.0,Alabama,Bullock County Hospital,Short Term Acute Care Hospital,102 Conecuh Ave W,Union Springs,36089,61.0,30.0,5,5,0.0,0.21287671,31,1.0,32.15,-85.71
25,1013.0,Alabama,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,29 L V Stabler Dr,Greenville,36037,72.0,44.0,7,7,0.0,0.18325144,28,2.0,31.83,-86.65
26,1015.0,Alabama,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,301 E 18th St,Anniston,36207,125.0,125.0,6,6,0.0,0.22229041,0,2.0,33.67,-85.83
27,1015.0,Alabama,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,400 E 10th St,Anniston,36207,323.0,250.0,18,18,0.0,0.58675069,73,11.0,33.66,-85.82
28,1017.0,Alabama,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,4800 48th St,Valley,36854,115.0,,15,15,,,115,0.0,32.82,-85.17
29,1019.0,Alabama,Cherokee Medical Center,Short Term Acute Care Hospital,400 Northwood Dr,Centre,35960,60.0,45.0,8,8,0.0,0.24253164,15,1.0,34.16,-85.65
30,1025.0,Alabama,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,295 S Jackson St,Grove Hill,36451,50.0,21.0,4,4,0.0,0.31272015,29,1.0,31.7,-87.78
31,1025.0,Alabama,Jackson Medical Center,Short Term Acute Care Hospital,220 Hospital Dr,Jackson,36545,35.0,35.0,6,6,0.0,0.26684931,0,1.0,31.53,-87.9
32,1027.0,Alabama,Clay County Hospital,Short Term Acute Care Hospital,83825 Highway 9,Ashland,36251,45.0,46.0,4,4,0.0,0.29112566,-1,2.0,33.28,-85.82
33,1031.0,Alabama,Medical Center Enterprise,Short Term Acute Care Hospital,400 N Edwards St,Enterprise,36330,131.0,99.0,7,7,0.0,0.23805176,32,2.0,31.32,-85.86
34,1033.0,Alabama,Shoals Hospital,Short Term Acute Care Hospital,201 Avalon Ave,Muscle Shoals,35661,198.0,122.0,10,10,0.0,0.12234449,76,2.0,34.74,-87.68
35,1035.0,Alabama,Evergreen Medical Center,Short Term Acute Care Hospital,101 Crestview Ave,Evergreen,36401,58.0,44.0,8,8,0.0,0.29383561,14,0.0,31.43,-86.94
36,1039.0,Alabama,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,849 S Three Notch St,Andalusia,36420,88.0,83.0,8,8,0.0,0.33371845,5,2.0,31.3,-86.49
37,1039.0,Alabama,Mizell Memorial Hospital,Short Term Acute Care Hospital,702 N Main St,Opp,36467,99.0,45.0,5,5,0.0,0.27829528,54,2.0,31.29,-86.25
38,1041.0,Alabama,Crenshaw Community Hospital,Short Term Acute Care Hospital,101 Hospital Dr,Luverne,36049,65.0,29.0,5,5,0.0,0.12602739,36,2.0,31.69,-86.27
39,1043.0,Alabama,Cullman Regional Medical Center,Short Term Acute Care Hospital,1912 Alabama Hwy 157,Cullman,35058,145.0,145.0,12,12,0.0,0.50817192,0,5.0,34.21,-86.87
40,1045.0,Alabama,Dale Medical Center,Short Term Acute Care Hospital,126 Hospital Ave,Ozark,36360,89.0,77.0,6,6,0.0,0.28824052,12,2.0,31.45,-85.63
41,1047.0,Alabama,Vaughan Regional Medical Center,Short Term Acute Care Hospital,1015 Medical Center Pkwy,Selma,36701,175.0,109.0,23,23,0.0,0.40459973,66,2.0,32.43,-87.06
42,1049.0,Alabama,Dekalb Regional Medical Center,Short Term Acute Care Hospital,200 Medical Center Dr,Fort Payne,35968,134.0,97.0,12,12,0.0,0.29221863,37,3.0,34.44,-85.76
43,1051.0,Alabama,Community Hospital,Short Term Acute Care Hospital,805 Friendship Rd,Tallassee,36078,69.0,37.0,5,5,0.0,0.36379120000000004,32,2.0,32.53,-85.91
44,1051.0,Alabama,Elmore Community Hospital,Short Term Acute Care Hospital,500 Hospital Dr,Wetumpka,36092,69.0,33.0,6,6,0.0,0.29804897,36,1.0,32.55,-86.19
45,1053.0,Alabama,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,1301 Belleville Ave,Brewton,36426,91.0,46.0,8,8,0.0,0.32239428,45,2.0,31.12,-87.07
46,1053.0,Alabama,Atmore Community Hospital,Short Term Acute Care Hospital,401 Medical Park Dr,Atmore,36502,51.0,49.0,6,6,0.0,0.32580376,2,2.0,31.02,-87.48
47,1055.0,Alabama,Gadsden Regional Medical Center,Short Term Acute Care Hospital,1007 Goodyear Ave,Gadsden,35903,346.0,222.0,40,40,0.0,0.71935087,124,8.0,34.01,-85.97
48,1055.0,Alabama,Riverview Regional Medical Center,Short Term Acute Care Hospital,600 S 3rd St,Gadsden,35901,281.0,256.0,45,45,0.0,0.2634739,25,6.0,34.0,-86.0
49,1057.0,Alabama,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,1653 Temple Ave N,Fayette,35555,61.0,45.0,8,8,0.0,0.26130897,16,2.0,33.71,-87.82
50,1059.0,Alabama,Russellville Hospital,Short Term Acute Care Hospital,15155 Highway 43,Russellville,35653,100.0,49.0,7,7,0.0,0.39781940000000005,51,2.0,34.51,-87.72
51,1059.0,Alabama,Red Bay Hospital,Critical Access Hospital,211 Hospital Rd,Red Bay,35582,25.0,25.0,4,4,0.0,0.30958903,0,1.0,34.46,-88.15
52,1061.0,Alabama,Wiregrass Medical Center,Short Term Acute Care Hospital,1200 W Maple Ave,Geneva,36340,83.0,73.0,6,6,0.0,0.16584726,10,2.0,31.05,-85.89
53,1063.0,Alabama,Greene County Hospital,Short Term Acute Care Hospital,509 Wilson Ave,Eutaw,35462,20.0,20.0,4,4,0.0,0.06753424599999999,0,0.0,32.84,-87.89
54,1065.0,Alabama,Hale County Hospital,Short Term Acute Care Hospital,508 Greene St,Greensboro,36744,39.0,28.0,5,5,0.0,0.25616437,11,0.0,32.7,-87.59
55,1069.0,Alabama,Flowers Hospital,Short Term Acute Care Hospital,4370 W Main St,Dothan,36305,235.0,235.0,26,26,6.0,0.61304575,0,8.0,31.24,-85.46
56,1069.0,Alabama,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,1108 Ross Clark Cir,Dothan,36302,420.0,327.0,40,40,16.0,0.77556032,93,8.0,31.22,-85.39
57,1071.0,Alabama,Highlands Medical Center,Short Term Acute Care Hospital,380 Woods Cove Rd,Scottsboro,35768,170.0,92.0,10,10,0.0,0.15247879999999997,78,2.0,34.66,-86.05
58,1073.0,Alabama,St Vincents Birmingham,Short Term Acute Care Hospital,810 Saint Vincents Dr,Birmingham,35205,409.0,400.0,83,83,30.0,0.67396295,9,13.0,33.51,-86.79
59,1073.0,Alabama,Princeton Baptist Medical Center,Short Term Acute Care Hospital,701 Princeton Ave Sw,Birmingham,35211,505.0,279.0,33,33,12.0,0.68526536,226,9.0,33.5,-86.85
60,1073.0,Alabama,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,3690 Grandview Pkwy,Birmingham,35243,402.0,373.0,72,72,12.0,0.79304647,29,8.0,33.43,-86.72
61,1073.0,Alabama,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,50 Medical Park Dr E,Birmingham,35235,362.0,309.0,44,44,0.0,0.73197675,53,12.0,33.6,-86.67
62,1073.0,Alabama,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,1720 University Blvd,Birmingham,35233,106.0,12.0,2,2,0.0,0.066894978,94,0.0,33.5,-86.8
63,1033.0,Alabama,Helen Keller Hospital,Short Term Acute Care Hospital,1300 S Montgomery Ave,Sheffield,35660,185.0,178.0,12,12,0.0,0.39525935,7,4.0,34.75,-87.7
64,1073.0,Alabama,UAB Hospital,Short Term Acute Care Hospital,1802 6th Ave S,Birmingham,35233,1157.0,1063.0,85,85,106.0,0.79954427,94,29.0,33.51,-86.8
65,1073.0,Alabama,Medical West Hospital,Short Term Acute Care Hospital,995 9th Ave Sw,Bessemer,35022,310.0,187.0,21,21,0.0,0.47354606,123,3.0,33.37,-86.99
66,1073.0,Alabama,Birmingham VA Medical Center,VA Hospital,700 19th St S,Birmingham,35233,313.0,129.0,0,0,,,184,0.0,33.5,-86.8
67,1073.0,Alabama,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,2010 Brookwood Medical Ctr Dr,Birmingham,35209,595.0,425.0,26,26,32.0,0.44367445,170,8.0,33.47,-86.81
68,1077.0,Alabama,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,1701 Veterans Dr,Florence,35630,263.0,233.0,36,36,0.0,0.55744457,30,6.0,34.8,-87.65
69,1079.0,Alabama,Lawrence Medical Center,Short Term Acute Care Hospital,202 Hospital St,Moulton,35650,98.0,43.0,6,6,0.0,0.16731443,55,2.0,34.48,-87.29
70,1081.0,Alabama,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,2000 Pepperell Pkwy,Opelika,36801,314.0,372.0,20,20,0.0,0.52572542,-58,10.0,32.64,-85.4
71,1083.0,Alabama,Athens-Limestone Hospital,Short Term Acute Care Hospital,700 W Market St,Athens,35611,71.0,66.0,10,10,0.0,0.51843089,5,3.0,34.8,-86.98
72,1089.0,Alabama,Huntsville Hospital,Short Term Acute Care Hospital,101 Sivley Rd SW,Huntsville,35801,881.0,877.0,67,67,46.0,0.71506852,4,21.0,34.72,-86.58
73,1089.0,Alabama,Crestwood Medical Center,Short Term Acute Care Hospital,1 Hospital Dr,Huntsville,35801,180.0,183.0,16,16,3.0,0.57648027,-3,3.0,34.69,-86.57
74,1091.0,Alabama,Bryan W Whitfield Memorial Hospital,Short Term Acute Care Hospital,105 Us Highway 80 E,Demopolis,36732,99.0,37.0,5,5,0.0,0.44524249,62,2.0,32.38,-87.91
75,1093.0,Alabama,Northwest Medical Center,Short Term Acute Care Hospital,1530 Us Highway 43,Winfield,35594,71.0,61.0,4,4,0.0,0.15535595,10,2.0,33.93,-87.82
76,1093.0,Alabama,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,1256 Military St S,Hamilton,35570,49.0,36.0,4,4,0.0,0.29383561,13,1.0,34.13,-87.99
77,1095.0,Alabama,Marshall Medical Center South,Short Term Acute Care Hospital,2505 Us Highway 431,Boaz,35957,150.0,150.0,20,20,0.0,0.48186946,0,7.0,34.22,-86.16
78,1097.0,Alabama,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,2451 USA Medical Center Dr,Mobile,36617,406.0,149.0,32,32,0.0,0.91442496,257,4.0,30.71,-88.1
79,1097.0,Alabama,Providence Hospital,Short Term Acute Care Hospital,6801 Airport Blvd,Mobile,36608,349.0,349.0,33,33,0.0,0.54951525,0,8.0,30.68,-88.2
80,1097.0,Alabama,Mobile Infirmary,Short Term Acute Care Hospital,5 Mobile Infirmary Cir,Mobile,36607,669.0,611.0,38,38,0.0,0.65003699,58,11.0,30.7,-88.08
81,1097.0,Alabama,Springhill Medical Center,Short Term Acute Care Hospital,3719 Dauphin St,Mobile,36608,263.0,198.0,20,20,0.0,0.77436006,65,5.0,30.69,-88.13
82,1097.0,Alabama,USA Childrens & Womens Hospital,Childrens Hospital,1700 Center St,Mobile,36604,152.0,101.0,118,118,118.0,0.62650961,51,1.0,30.7,-88.08
83,1099.0,Alabama,Monroe County Hospital,Short Term Acute Care Hospital,2016 S Alabama Ave,Monroeville,36460,94.0,49.0,8,8,0.0,0.17769079999999998,45,2.0,31.5,-87.32
84,1101.0,Alabama,Baptist Medical Center East,Short Term Acute Care Hospital,400 Taylor Rd,Montgomery,36117,150.0,150.0,12,12,25.0,0.60898942,0,2.0,32.38,-86.17
85,1101.0,Alabama,Central Alabama Veterans Health Care System - West Campus,VA Hospital,215 Perry Hill Rd,Montgomery,36109,143.0,143.0,1,1,,,0,1.0,32.38,-86.24
86,1101.0,Alabama,Baptist Medical Center South,Short Term Acute Care Hospital,2105 E South Blvd,Montgomery,36116,432.0,320.0,26,26,40.0,0.70980448,112,8.0,32.33,-86.27
87,1101.0,Alabama,Jackson Hospital,Short Term Acute Care Hospital,1725 Pine St,Montgomery,36106,344.0,270.0,34,34,0.0,0.72486049,74,5.0,32.37,-86.29
88,1103.0,Alabama,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,1201 7th St SE,Decatur,35601,273.0,200.0,23,23,0.0,0.55383563,73,3.0,34.59,-86.97
89,1109.0,Alabama,Troy Regional Medical Center,Short Term Acute Care Hospital,1330 Highway 231 S,Troy,36081,97.0,97.0,9,9,0.0,0.18395707,0,2.0,31.78,-85.94
90,1113.0,Alabama,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,4401 Riverchase Dr,Phenix City,36867,70.0,47.0,8,8,0.0,0.38933256,23,2.0,32.51,-85.01
91,1115.0,Alabama,St Vincents St Clair,Short Term Acute Care Hospital,7063 Veterans Pkwy,Pell City,35125,40.0,40.0,6,6,0.0,0.58636987,0,2.0,33.6,-86.3
92,1117.0,Alabama,Shelby Baptist Medical Center,Short Term Acute Care Hospital,1000 1st St N,Alabaster,35007,252.0,212.0,32,32,0.0,0.54241407,40,6.0,33.25,-86.81
93,1119.0,Alabama,Hill Hospital of Sumter County,Short Term Acute Care Hospital,751 Derby Dr,York,36925,33.0,33.0,6,6,0.0,0.45330012,0,0.0,32.49,-88.3
94,1121.0,Alabama,Coosa Valley Medical Center,Short Term Acute Care Hospital,315 W Hickory St,Sylacauga,35150,168.0,122.0,8,8,0.0,0.29144397,46,2.0,33.16,-86.26
95,1121.0,Alabama,Citizens Baptist Medical Center,Short Term Acute Care Hospital,604 Stone Ave,Talladega,35160,122.0,85.0,6,6,0.0,0.20674193,37,2.0,33.44,-86.09
96,1123.0,Alabama,Lake Martin Community Hospital,Short Term Acute Care Hospital,201 Mariarden Rd,Dadeville,36853,46.0,46.0,8,8,0.0,0.094997019,0,0.0,32.82,-85.74
97,1123.0,Alabama,Russell Medical Center,Short Term Acute Care Hospital,3316 Highway 280,Alexander City,35010,81.0,34.0,6,6,0.0,0.46046078,47,2.0,32.93,-85.97
98,1125.0,Alabama,DCH Regional Medical Center,Short Term Acute Care Hospital,809 University Blvd E,Tuscaloosa,35401,583.0,497.0,52,52,51.0,0.75219536,86,31.0,33.2,-87.53
99,1125.0,Alabama,Tuscaloosa VA Medical Center,VA Hospital,3701 Loop Road East,Tuscaloosa,35404,,,0,0,,,0,0.0,33.19,-87.49
100,1127.0,Alabama,Walker Baptist Medical Center,Short Term Acute Care Hospital,3400 Highway 78 E,Jasper,35501,267.0,207.0,12,12,0.0,0.28748593,60,4.0,33.83,-87.21
101,1129.0,Alabama,Washington County Hospital,Critical Access Hospital,14600 Saint Stephens Ave,Chatom,36518,25.0,15.0,3,3,0.0,0.39598173,10,1.0,31.46,-88.24
102,1131.0,Alabama,J Paul Jones Hospital,Short Term Acute Care Hospital,317 Mcwilliams Ave,Camden,36726,30.0,21.0,4,4,0.0,0.071232878,9,0.0,32.0,-87.3
103,1133.0,Alabama,Lakeland Community Hospital,Short Term Acute Care Hospital,42024 Highway 195,Haleyville,35565,49.0,49.0,4,4,0.0,0.28303048,0,2.0,34.24,-87.59
104,2020.0,Alaska,Providence Alaska Medical Center,Short Term Acute Care Hospital,3200 Providence Dr,Anchorage,99508,401.0,391.0,46,46,66.0,0.74009299,10,11.0,61.19,-149.82
105,2020.0,Alaska,Alaska Regional Hospital,Short Term Acute Care Hospital,2801 Debarr Rd,Anchorage,99508,250.0,164.0,14,14,10.0,0.56516874,86,4.0,61.21,-149.83
106,2020.0,Alaska,Alaska Native Medical Center,Short Term Acute Care Hospital,4315 Diplomacy Dr,Anchorage,99508,150.0,174.0,30,30,0.0,0.60805118,-24,4.0,61.18,-149.8
107,2050.0,Alaska,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,829 Chief Eddie Hoffman Hwy,Bethel,99559,50.0,34.0,6,6,0.0,0.39991942,16,1.0,60.75,-161.73
108,23011.0,Maine,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,1 Va Ctr,Augusta,4330,,,2,2,,,0,2.0,44.31,-69.78
109,2090.0,Alaska,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,1650 Cowles St,Fairbanks,99701,152.0,122.0,13,13,0.0,0.39546373,30,2.0,64.83,-147.74
110,2110.0,Alaska,Bartlett Regional Hospital,Short Term Acute Care Hospital,3260 Hospital Dr,Juneau,99801,73.0,45.0,9,9,0.0,0.36596653,28,2.0,58.33,-134.46
111,2122.0,Alaska,Central Peninsula General Hospital,Short Term Acute Care Hospital,250 Hospital Pl,Soldotna,99669,49.0,49.0,6,6,0.0,0.63282079,0,2.0,60.49,-151.08
112,2122.0,Alaska,Providence Seward Medical & Care Center,Critical Access Hospital,417 1st Ave,Seward,99664,6.0,6.0,1,1,0.0,0.21004567,0,0.0,60.27,-149.39
113,2122.0,Alaska,South Peninsula Hospital,Critical Access Hospital,4300 Bartlett St,Homer,99603,22.0,21.0,4,4,0.0,0.37521201,1,1.0,59.65,-151.55
114,2130.0,Alaska,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,3100 Tongass Ave,Ketchikan,99901,25.0,25.0,4,4,0.0,0.38246575,0,2.0,55.35,-131.69
115,24510.0,Maryland,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,10 N Greene St,Baltimore,21201,100.0,100.0,2,2,,,0,2.0,39.29,-76.62
116,2150.0,Alaska,Providence Kodiak Island Medical Center,Critical Access Hospital,1915 E Rezanof Dr,Kodiak,99615,25.0,24.0,4,4,0.0,0.20011416,1,2.0,57.8,-152.38
117,2170.0,Alaska,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,2500 S Woodworth Loop,Palmer,99645,125.0,74.0,14,14,0.0,0.66927063,51,3.0,61.56,-149.26
118,2180.0,Alaska,Norton Sound Regional Hospital,Critical Access Hospital,1000 Greg Kruschek Ave,Nome,99762,18.0,18.0,3,3,0.0,0.27640793,0,1.0,64.5,-165.41
119,2220.0,Alaska,Mt Edgecumbe Hospital,Critical Access Hospital,222 Tongass Dr,Sitka,99835,25.0,25.0,4,4,0.0,0.37873971,0,1.0,57.05,-135.36
120,2275.0,Alaska,Wrangell Medical Center,Critical Access Hospital,310 Bennett St,Wrangell,99929,8.0,8.0,1,1,0.0,0.27500001,0,0.0,56.31,-131.72
121,25015.0,Massachusetts,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,421 N Main St,Leeds,1053,,,0,0,,,0,0.0,42.35,-72.69
122,25017.0,Massachusetts,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,200 Springs Rd,Bedford,1730,,,1,1,,,0,1.0,42.51,-71.28
123,4001.0,Arizona,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Intersection of Route 12 and 7,Fort Defiance,86504,56.0,56.0,10,10,0.0,0.46883562,0,1.0,35.76,-109.05
124,4001.0,Arizona,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Highway 191,Chinle,86503,60.0,60.0,11,11,0.0,0.21630137,0,1.0,36.15,-109.55
125,4001.0,Arizona,Sage Memorial Hospital,Critical Access Hospital,US-191 & AZ-264,Ganado,86505,25.0,25.0,4,4,0.0,0.20756164,0,1.0,35.61,-109.46
126,4001.0,Arizona,White Mountain Regional Medical Center,Critical Access Hospital,118 S Mountain Ave,Springerville,85938,21.0,21.0,4,4,0.0,0.23710473,0,2.0,34.13,-109.29
127,4003.0,Arizona,Copper Queen Community Hospital,Critical Access Hospital,101 Cole Ave,Bisbee,85603,14.0,14.0,2,2,0.0,0.29726028,0,2.0,31.42,-109.88
128,4003.0,Arizona,Benson Hospital,Critical Access Hospital,450 S Ocotillo Ave,Benson,85602,22.0,22.0,4,4,0.0,0.18281445,0,0.0,31.96,-110.31
129,4003.0,Arizona,Northern Cochise Community Hospital,Critical Access Hospital,901 W Rex Allen Dr,Willcox,85643,24.0,24.0,4,4,0.0,0.090867579,0,0.0,32.26,-109.84
130,4003.0,Arizona,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,5700 E Highway 90,Sierra Vista,85635,100.0,75.0,12,12,0.0,0.47696805,25,4.0,31.55,-110.23
131,4005.0,Arizona,Flagstaff Medical Center,Short Term Acute Care Hospital,1200 N Beaver St,Flagstaff,86001,264.0,242.0,41,41,18.0,0.57496887,22,7.0,35.21,-111.64
132,4005.0,Arizona,Page Hospital,Critical Access Hospital,501 N Navajo Dr,Page,86040,25.0,25.0,4,4,0.0,0.10027397,0,1.0,36.92,-111.46
133,4005.0,Arizona,Tuba City Regional Health Care,Short Term Acute Care Hospital,167 Main Street,Tuba City,86045,73.0,73.0,13,13,0.0,0.39703509,0,2.0,36.14,-111.24
134,4009.0,Arizona,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,103 Medicine Way Rd,Peridot,85542,127.0,8.0,1,1,0.0,0.40102741,119,0.0,33.3,-110.42
135,4007.0,Arizona,Cobre Valley Regional Medical Center,Critical Access Hospital,5880 S Hospital Dr,Globe,85501,25.0,25.0,4,4,0.0,0.56054795,0,2.0,33.41,-110.83
136,4007.0,Arizona,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,807 S Ponderosa St,Payson,85541,25.0,25.0,4,4,0.0,0.39209875,0,2.0,34.23,-111.32
137,4009.0,Arizona,Mt Graham Regional Medical Center,Short Term Acute Care Hospital,1600 S 20th Ave,Safford,85546,49.0,49.0,9,9,0.0,0.20782779,0,2.0,32.82,-109.73
138,4012.0,Arizona,La Paz Regional Hospital,Critical Access Hospital,1200 W Mohave Rd,Parker,85344,25.0,25.0,3,3,0.0,0.35660273,0,2.0,34.14,-114.28
139,4013.0,Arizona,Banner Desert Medical Center,Short Term Acute Care Hospital,1400 S Dobson Rd,Mesa,85202,595.0,615.0,51,51,86.0,0.70869809,-20,20.0,33.39,-111.88
140,4013.0,Arizona,Banner Boswell Medical Center,Short Term Acute Care Hospital,10401 W Thunderbird Blvd,Sun City,85351,434.0,410.0,85,85,0.0,0.51876193,24,9.0,33.6,-112.28
141,4013.0,Arizona,St Josephs Hospital and Medical Center,Short Term Acute Care Hospital,350 W Thomas Rd,Phoenix,85013,586.0,460.0,32,32,72.0,0.8550030000000001,126,29.0,33.48,-112.08
142,4013.0,Arizona,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Short Term Acute Care Hospital,2000 W Bethany Home Rd,Phoenix,85015,206.0,144.0,28,28,0.0,0.61058354,62,6.0,33.53,-112.1
143,4013.0,Arizona,Chandler Regional Medical Center,Short Term Acute Care Hospital,1955 W Frye Rd,Chandler,85224,338.0,96.0,49,49,12.0,0.78661072,242,19.0,33.3,-111.87
144,4013.0,Arizona,HonorHealth Scottsdale Osborn Medical Center,Short Term Acute Care Hospital,7400 E Osborn Rd,Scottsdale,85251,341.0,337.0,59,59,0.0,0.49964809,4,8.0,33.49,-111.92
